"rank","account","markets","incentivePoints","updatedAt","pnl","roi"
1,"dydx1a3kmc66m3ftay4jd048vm32dt20v4jdyuekh9u","[""BTC"",""ETH"",""LINK""]",5478.251981599999,1716908500991,4253.619576000001,16.881904237330925
2,"dydx1ft9lpfsl7rnlx3dsgzdargep08t7es08pexz7f","[""PEPE""]",0,1716908501267,4994.4675640000005,9.29340507540067
3,"dydx1yksjtvpg0aslj9swp3sj8q8uq3xve2e2qjlxzt","[""ALGO"",""CHZ"",""MANA"",""AGIX"",""ASTR"",""WOO"",""ARKM"",""AXL"",""GRT"",""SNX"",""SOL"",""PEPE"",""BNB"",""STRK"",""PYTH"",""BONK"",""HBAR"",""AEVO"",""WIF"",""ETHFI"",""TON"",""RUNE""]",966.7705493333333,1716908501723,8325.770475,4.906394320645456
4,"dydx1w9mmdfk99xjwwqtvp2wz74aql0zuu5chd77dvk","[""ETH""]",6.115096,1716908501699,1204.280317,4.662542034995956
5,"dydx1cpxptsdxy3zdl762z9sz6j9ydvnmlpl3azjs4s","[""BTC"",""ETH""]",617.6092,1716908501030,8127.919181,4.418498423831248
6,"dydx1xymar8gx2et8227wm7h0xmty54qljc6zaq5v4t","[""ETH""]",423.66489733333333,1716908501718,14057.744557,4.338686406607008
7,"dydx1mnqc7tz4pm93vv4ugl62dze0pf2gvd9z0w7htl","[""BTC"",""ETH"",""FIL"",""NEAR"",""APT"",""SEI"",""TIA"",""JTO"",""BONK"",""WIF""]",107.21408639999999,1716908501500,2042.1891229999999,4.210415423318342
8,"dydx1cnv2z2r5l0d4k0qyjqwet8t6usj7t4tepaywp9","[""ETH"",""ETHFI""]",66.72115786666666,1716908501030,1200.710761000002,4.030859019285321
9,"dydx1h0rewzeyw2fxddrpqvs0takf0sxyz85jv40n3p","[""BTC"",""ETH"",""SOL"",""NEAR"",""PEPE""]",0,1716908501297,3496.4799580000004,3.6079247337988947
10,"dydx1yfurvcw5l7fc3l298xurxaejwgypx3276hzp44","[""ETHFI"",""ETH""]",66.72,1716908501723,1198.6908010000043,2.9016522483758354
11,"dydx1j0etcl39dmf648hp8s4gra8yhm8g28jzr7jj48","[""ETH""]",6.588093333333333,1716908501329,652.3862509999999,2.595860272417164
12,"dydx16rzghgndaqjk87fecasqeqc5hjavfj72tv0tan","[""ETHFI"",""STRK""]",20.003999999999998,1716908501132,361.86195599999974,2.4240436986277625
13,"dydx1vrglt9nupxkpn6hgtz24skalwuvpr20ly9yxrq","[""AVAX"",""NEAR"",""ARB""]",1177.3448486666664,1716908501688,595.956875,2.3649084218181287
14,"dydx1n44h7cpp8rj6fhv3ggm5yfj8n3y0uwtxum4lu3","[""RUNE"",""WIF"",""BTC"",""ETH"",""SOL"",""ADA"",""UNI""]",7.16606,1716908501511,650.7235870000001,2.2584759600716344
15,"dydx1an94vzu5ume33telcy9d79ajnm04nfl8kdsqwf","[""BTC"",""ETH""]",978.4,1716908501005,37805.81934,2.119794792443191
16,"dydx1aj5pu27g39hqvw0g3yernmwtv0d4tzhxwc7z9p","[""ETH""]",0,1716908501005,523.290674,2.076623090826922
17,"dydx1yqja24ctn93dedfw5kprd5mlneat8sgnxfqk29","[""AGIX"",""MATIC"",""ARB"",""LDO"",""OP"",""PEPE"",""SUI"",""ORDI"",""FET"",""INJ""]",51.866955999999995,1716908501723,968.236294,1.7991350123248206
18,"dydx13zymaghjc79k7rlq6a2cvshuencfn093rgggzq","[""AXL"",""APT""]",31.416,1716908501093,823.6271059999999,1.7854856194889996
19,"dydx17jq5r5pt5lhu8qzx74fn6w38mzgg9qwkvwg3wm","[""GRT"",""BTC"",""ETH"",""SOL"",""ETC"",""WLD"",""ARB"",""BLUR"",""PEPE"",""SEI"",""BNB"",""STX"",""AEVO"",""WIF""]",4831.976530399999,1716908501138,19531.701735000002,1.767710394315404
20,"dydx199vu8lzdzqx4gcg0trtq57t9kez0ar2c4ula7u","[""BTC"",""ETH"",""SOL""]",0,1716908500967,3565.771448,1.6647735585217944
21,"dydx1zyt3fn7waj49fk2hqkwp3lf3ex0vftlwm3zcw8","[""ETH"",""LINK"",""SOL"",""AVAX"",""LTC"",""DOT"",""APT"",""BNB"",""DYM"",""HBAR""]",0,1716908501736,1033.27254,1.6567451483034195
22,"dydx1gyjkfvj92agme8u96cdsj2qexpyjh5ydad64xe","[""AXL"",""ETH""]",35.903999999999996,1716908501297,943.4617999999973,1.5832082367790972
23,"dydx15u6ftam25yxe7ce9m9xumgpfw8ue0dj3g9wuvu","[""ETH""]",5.506666666666667,1716908501118,391.182405,1.5420255087325438
24,"dydx15q5qegu8xrmguvausphaw7wzsjff245frxu9qg","[""BTC"",""ETH"",""SOL"",""PEPE""]",574.4589053333333,1716908501118,2620.564102000004,1.4608600054160283
25,"dydx1ua8g28n6c5hxlt3wxm3plr2jnzz6d5jc9n7387","[""ETH""]",2846.6393999999996,1716908501667,47510.922013999996,1.4474444491564193
26,"dydx1zddswpynt5xylctj27r2ul80jw64z7fe693a5c","[""BTC"",""ETH""]",1144.3318437333332,1716908501730,1563.734563,1.4381799504294601
27,"dydx1sv0wct4nmawxhjs642379rxv9th3xsz0dm449l","[""ALGO"",""BTC"",""ETH"",""NEAR"",""WLD"",""APT"",""BNB"",""JTO"",""ICP"",""STX"",""ETHFI"",""TON""]",525.0719725333333,1716908501613,1767.017304,1.3182491791938824
