"rank","account","markets","incentivePoints","updatedAt","pnl","roi"
1,"dydx1hs3er8vu47fcmhnnkl4y54y0cf6nj3g44jzva0","[""SEI"",""BNB"",""ARB"",""NEAR"",""BLUR"",""TIA"",""SUI"",""ETH""]",2379.8358319999998,1708624826277,16539.026756,3.796054240069784
2,"dydx1055h9lj5aptvspapfc0vm7hxfajafcvz097spf","[""ETH""]",25.979789599999997,1708624826028,4932.6563639999995,1.6207786719272481
3,"dydx1634pykvu6mmpfsr7amacsdwmmskssgtw64y2lp","[""ETH"",""XLM"",""WLD"",""BTC"",""SUI"",""LTC"",""MATIC"",""ARB"",""CRV"",""SEI"",""TIA"",""LDO"",""XRP"",""AVAX"",""BNB"",""SOL"",""ETC"",""ATOM"",""LINK"",""ADA"",""FIL"",""BCH"",""TRX"",""MKR"",""APT""]",4410.260609066666,1708624826141,7598.8002799999995,1.6128870322878108
4,"dydx14qr4vxz8t7ugyua0wx56rcyu78p9lucsq3j68c","[""BTC"",""ETH""]",97.03903093333332,1708624826028,4669.617086,1.53866341817618
5,"dydx1js9cvesvhxk4s7dnmuu9g2pvhslzn72ajh0p43","[""ETH"",""BTC""]",1260.8724533333332,1708624826277,8480.603554000001,1.2289151499802824
6,"dydx1ryln79j5s5fqd5sxn3684hl4h0ed9gdujsklzp","[""JUP"",""SOL"",""LDO"",""ARB"",""BTC"",""OP"",""SHIB"",""ETH"",""TIA""]",6686.5458813333325,1708624826362,4830.186565,1.1743107599927787
7,"dydx12zhvlgwnsl2nxgjqxw0lkazzh3tnxt69dnmq0f","[""LINK"",""BCH"",""JUP"",""AVAX"",""MATIC"",""ETH"",""BTC"",""WLD"",""ARB"",""SOL"",""OP"",""FIL"",""DOGE"",""ATOM"",""ETC"",""SEI""]",1217.5913786666665,1708624826028,6575.098114,1.1283475470159614
8,"dydx1ue84s9vgqvzllgp0ut00frghaznn76mepwhe3p","[""BTC"",""ETH""]",597.8363733333333,1708624826362,5309.862024999999,1.057376268029882
9,"dydx1vnwc0yjmxm08llpjsu7mj8kn6jg64wm47uuuxr","[""ETH"",""BTC""]",310.36109519999997,1708624826311,7058.271531,1.0047387887638102
10,"dydx10fza24dmg428ffdkrh7gjj9vkft4resn460rwy","[""ETH"",""CRV"",""UNI"",""ARB"",""XRP"",""BTC""]",1066.1583485333333,1708624826028,8915.546327,0.9920546858222409
11,"dydx18dysr3tda0u4tf2fv7tcy3hyuaex0zu5fv5dyk","[""BTC"",""ETH"",""SOL""]",120.66666666666666,1708624826141,10872.805932,0.8444075498660579
12,"dydx187gyeltl52u6ucgzmkxf3jj0k44w9aey2x2tjn","[""PEPE"",""BTC"",""ETH"",""LINK"",""CRV"",""ADA"",""AVAX"",""FIL"",""DOGE"",""ATOM"",""MKR"",""ARB"",""BLUR"",""SEI"",""SUI"",""JUP""]",0.6103959999999999,1708624826141,1371.36238,0.8124969771590508
13,"dydx1p68pf257kudfg2h5k8gqaswm9xc7pmmkulsfvk","[""BTC"",""ETH"",""XLM""]",0,1708624826240,3037.922138,0.7221164056212935
14,"dydx1fvy4xzgfn9mm8tr9wly9gz0zzwktjqap5cs380","[""SOL"",""BNB"",""BTC"",""ETH"",""NEAR"",""ETC"",""BLUR"",""SEI""]",23.35686666666666,1708624826277,3086.2020169999996,0.6854530458300735
15,"dydx1eelt89q8g33ammtjj6twacvulqa2a5u5jr3ng3","[""ETH"",""BTC"",""LINK"",""SOL"",""AVAX""]",999.0839285333333,1708624826210,4931.9112,0.6435250024508506
16,"dydx1h2c7gqcfsftz02cj9jt6euqpswwdv7gpmjsfvl","[""WLD"",""PEPE"",""SOL"",""ARB"",""BLUR"",""LINK"",""TIA"",""LDO"",""BTC"",""SUI"",""ETH""]",383.5094088,1708624826277,3323.7204679999995,0.642541952519689
17,"dydx13wq996a60lmetf3s855emhrg5ghsj4dh464nmx","[""NEAR"",""ADA"",""DOGE"",""AVAX"",""ETH"",""DOT"",""BTC"",""SOL"",""ATOM""]",1104.2155433333332,1708624826028,4449.308115,0.6364510761681024
18,"dydx19kzhrc0efc0kvvphge820n29yxm0g23dumwhmm","[""SOL"",""AVAX"",""OP"",""SEI"",""SUI"",""TIA""]",0,1708624826141,2702.305764,0.5399051285878361
19,"dydx14tgf7ldwd4v0v3vmh6lujlk0cv45jydfmsqq3k","[""ARB"",""OP"",""TIA""]",0,1708624826028,3939.433185,0.5395002107301378
20,"dydx10pd6ffjwqgg45sglp3tqrhwezgejjracawv78x","[""NEAR"",""WLD"",""DOGE"",""BLUR"",""MATIC"",""LTC"",""SEI"",""APE"",""BCH"",""SOL"",""ETC"",""BTC"",""AVAX"",""ETH""]",3184.8268848,1708624826028,3954.011882,0.40882387670970005
21,"dydx1kca9sh84lmsmwrlv2syjum9wuw30rqfytnz669","[""BTC"",""ETH"",""SOL"",""ETC"",""XRP""]",0,1708624826277,2656.3611739999997,0.4054008535277496
22,"dydx1l925jcx53hdl094fdqxmmth0yfrnsall8vwdzg","[""ETH""]",0,1708624826240,1492.751652,0.3983208473519013
23,"dydx1qy2qakxyqymgufmrj4npy8uxt26qwuq6q7kuer","[""ETH"",""NEAR""]",0,1708624826362,2327.8039830000002,0.39115017166538923
