"rank","account","markets","incentivePoints","updatedAt","pnl","roi"
1,"dydx1vrglt9nupxkpn6hgtz24skalwuvpr20ly9yxrq","[""BTC"",""ETH"",""LINK""]",2633.6206991999998,1724659428185,2294.904384,9.168878615286147
2,"dydx1gyh9dsrlwnqeu52cc8dvnu383048tzszccenzc","[""BONK"",""W"",""PENDLE"",""1INCH"",""MOTHER"",""DRIFT"",""ZERO"",""FOXY"",""BLAST"",""ALT"",""BODEN"",""ETHFI"",""AXL"",""WLD"",""RENDER"",""POPCAT""]",195.322272,1724659428043,2252.4797629999994,8.960909686307259
3,"dydx1yksjtvpg0aslj9swp3sj8q8uq3xve2e2qjlxzt","[""ZERO"",""GME"",""PAXG"",""BODEN"",""PENDLE"",""AXL"",""POPCAT"",""RENDER"",""DYDX""]",142.8644,1724659428230,1406.1823749999985,7.825927459020894
4,"dydx16ack46p9kwlr0h0ettp7zcazy4w3hp2z4k4a65","[""ZERO"",""BODEN"",""MEW"",""W"",""PAXG"",""GME"",""ONDO"",""PENDLE"",""POPCAT"",""WLD"",""DYDX""]",185.67983466666664,1724659427881,1724.4464750000006,6.571881110786272
5,"dydx1p9426jtunquftwxugy9xym6h8qcxk7ffnwhx53","[""ZRX"",""MICHI"",""ETH"",""MATIC"",""SOL"",""PEPE"",""WIF"",""BODEN""]",7.9495466666666665,1724659428144,2390.1342360000003,6.336158612702449
6,"dydx1exlcrnr4j62r3yh7rwvz2pwn6vxf2qm0j7tq9j","[""MAVIA"",""PEOPLE"",""ETH""]",23.22362666666666,1724659428034,1533.857591,5.8917414338148735
7,"dydx1xkz8jjre9s9dqhakvd8e2f5xupdlkm3f6w63qf","[""ETH"",""DYDX""]",41.679452266666665,1724659428223,1380.413156,5.488343428663964
8,"dydx17jvh25hrzq9llk4ng8j6d6judknqa50aj5m2c4","[""PEOPLE"",""AURORA"",""PENDLE"",""ETH""]",35.471466666666664,1724659427927,1366.6465950000002,5.397869727863034
9,"dydx1f66ep52xsl9zqy4x6veepfqrxc6lnna7tdw4m7","[""ETH""]",42.35414613333333,1724659428034,1260.8687659999998,5.041145167690977
10,"dydx1uf2ljur9h85klv4je4m36msr9jd5378zt6ap7p","[""ETH""]",20.2912224,1724659428173,1234.790728,4.924470321442588
11,"dydx1twg9lgzvgz75vcpxmxdjc0mluvltvpgdxx9a4l","[""PRIME"",""BICO"",""AURORA"",""BTC"",""ETH"",""LINK"",""SUI""]",14.235626666666665,1724659428167,1265.5201610000001,4.864660033354469
12,"dydx1zct4sqtlzfmh0d23ayr360c9vr2c5uslydtme6","[""PRIME"",""PEOPLE"",""ETH""]",30.9886288,1724659428235,1154.633832,4.571432186748453
13,"dydx1xxr4yrgcdyemk9aechgtz4mrrgc8725l80mlll","[""AURORA"",""PRIME"",""BICO"",""BTC"",""ETH"",""OP"",""ZRO""]",11.885599999999998,1724659428202,1157.944316000001,4.453055553701098
14,"dydx1pltdc9n9524pdcx6ydh3j7pl3r3zskqdry9gwl","[""ETH"",""SOL""]",14.360279199999999,1724659428144,1016.708777,4.0650299907822935
15,"dydx1x77paddw0pezqxprxdvzaelj5dapc6c96zlcvj","[""PRIME"",""AURORA"",""SOL"",""XRP""]",11.44,1724659428207,981.521992,3.8567494292403968
16,"dydx1zzx60lpf6jqdedg3t3ysgz0tjsfejw47fa7e2k","[""PAXG"",""BICO"",""PENDLE"",""PEOPLE"",""BTC"",""ETH"",""ATOM"",""RUNE""]",64.98933333333333,1724659428235,2694.106565000009,3.630383892278326
17,"dydx1z49sxfud9pqrd80729kacn4fl6syyuzum82rf3","[""PEOPLE""]",13.756426666666666,1724659428230,853.072067,3.392265016667319
