"rank","account","markets","incentivePoints","updatedAt","pnl","roi"
1,"dydx1xg2q6rjf8ee9v0xnhzvv8xlx355an3fwu87e5l","[""AGIX"",""DYM"",""ETC"",""JTO"",""RNDR"",""INJ""]",1329.8728999999998,1716908501712,233095.076184,22.702622054184776
2,"dydx1vzjze6ptt6ytd9uzwxg8rqtac8e44l783u6zst","[""BTC"",""ETH"",""LINK"",""DOGE""]",6891.4728842666655,1716908501699,5593.177002999999,22.195147101529525
3,"dydx13rf45zema787j07jatn5nferhyejf9lnnv2v6z","[""ETH""]",3.7758639999999994,1716908501083,613.887988,2.41414251310916
4,"dydx197uw2za97nqukxrp6e5ke7f29xamcq5kx9gp9q","[""WOO"",""SOL"",""WIF"",""ARB""]",101.005284,1716908500967,9645.339608999999,2.2047253274072354
5,"dydx10v702f8dcw30wvpk9hffzz99r9kfwuklp3p5fk","[""AGIX"",""AXL""]",38.626799999999996,1716908501047,2041.4290799999999,2.029273451982886
6,"dydx1dkfs6f0ea0uerxf7mntlmh6lvng9vjt2gr8vkc","[""BTC"",""ETH"",""LTC"",""DOGE""]",659.536392,1716908501157,6564.6117110000005,1.9113789474165674
7,"dydx16na5wluyxavlyj24g45w2u5gkwq5rlgmq9xj0h","[""PEPE"",""BTC"",""ETH"",""SOL"",""DOGE""]",79.788,1716908501125,7532.691895,1.871873631327454
8,"dydx17mwvr029ynzp08mw0azc3tzw5cnnyhg6ucgf27","[""AEVO"",""ETH""]",50.09759999999999,1716908501138,5449.579334000001,1.8070765313034045
9,"dydx19l5hmaeh8k8z8paackcer3ukz3md7mhtdny3e2","[""AGIX"",""BTC"",""ARB"",""STRK""]",270.7581333333333,1716908500981,5214.56754,1.7340723777265004
10,"dydx1dzx7fjfhdljdum2ayu6ggr5533czgnlawd79a5","[""BTC"",""DYDX"",""ETHFI"",""ETH"",""UNI""]",466.5899293333333,1716908501193,5255.2693930000005,1.6981390802535008
11,"dydx1hwurtk89twhn2qugjlwzwevext43pmefyvdhus","[""LINK"",""MATIC"",""SOL"",""DOGE"",""NEAR"",""PEPE"",""BTC""]",1344.8992626666666,1716908501329,6180.308767,1.5573341583176892
12,"dydx1nq2p9yslh3ph8x9ajvlk609cgdwf74qjrsrujz","[""SOL""]",3999.985083333333,1716908501524,6667.445788999999,1.5507398257263831
13,"dydx1r3r0thwpte9e97u9y4as4tu9v58v5nvv0njr32","[""ASTR"",""CHZ"",""BTC"",""ETH""]",336.572272,1716908501589,4643.864961,1.5463626365695273
14,"dydx18xq2nawwsgvre2nwwk5rvy0ehqyg2unjwd0dnn","[""MANA"",""ETH""]",338.47933333333333,1716908500967,4586.58793,1.5258720399288672
15,"dydx1xa89vzppwpvquu5znawscutlm3n2r0fnh52p5m","[""BTC"",""ETH""]",69.696,1716908501712,4357.735420999999,1.4502166571031803
16,"dydx1nz8teu05mrluvamz4pkjcvknjzt078gw97fpdg","[""BTC"",""ETH"",""SOL"",""AVAX"",""FIL"",""DOGE""]",1234.6892179999998,1716908501524,11460.747527,1.4254569680735623
17,"dydx17lzl46azzpxgeze0whafjwxu9lfdv7pueerjkj","[""ASTR"",""CHZ"",""ETH"",""ETHFI"",""BTC""]",386.05645599999997,1716908501138,4249.271621,1.4147743552344971
18,"dydx1wrv0ycecc3qudvda7dugpgw04ylemkw4yjalmr","[""CHZ"",""BTC"",""DYDX""]",154.59839253333334,1716908501704,4189.777158000001,1.3947868613738312
